ลำดับ,คณะ,สาขาวิชา,จำนวนรับ,ว่าง,เงื่อนไขขั้นต่ำ,เกณฑ์การพิจารณา,รหัสคณะ,ประเภท,รหัสหลักสูตร,แหล่งที่มา
1,วิทยาลัยบูรณาการศาสตร์,วท.บ. สาขาวิชาศาสตร์แห่งแผ่นดินเพื่อการพัฒนาที่ยั่งยืน,10,,"1. เป็นนักเรียนชั้น ม.6 หรือเทียบเท่า ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์ 
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 3 ธ.ค. 67","1. เลือก 1 วิชา จาก คณิตศาสตร์, เคมี, ชีววิทยา, ฟิสิกส์, English for Everyday Life, หลักการตลาด (ภาษาไทย), หลักการตลาด (ภาษาอังกฤษ)  แต่ละวิชา ≥ C",1,A,10020116210103A,https://admission.ku.ac.th/majors/project/2/
2,คณะเกษตร,วท.บ. สาขาวิชาอาหาร โภชนาการ และการกำหนดอาหาร,1,,"1. เป็นนักเรียนชั้น ม.6 สายสามัญ (สายวิทยาศาสตร์) ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์ 
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 4 ธ.ค. 67","1. 
&nbsp;&nbsp;&nbsp;&nbsp 1.1 เลือก 1 วิชา จาก เคมี หรือ ชีววิทยา แต่ละวิชา ≥ C
&nbsp;&nbsp;&nbsp;&nbsp 1.2 เลือก 2 วิชา จาก เคมี และ ชีววิทยา แต่ละวิชา ≥ D",2,A,10020101111802A,https://admission.ku.ac.th/majors/project/2/
3,คณะเกษตร,วท.บ. สาขาวิชาเทคโนโลยีระบบเกษตร,1,,"1. เป็นนักเรียนชั้น ม.6 สายสามัญ (สายวิทยาศาสตร์) ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์ 
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 4 ธ.ค. 67","1. 
&nbsp;&nbsp;&nbsp;&nbsp 1.1 เลือก 1 วิชา จาก คณิตศาสตร์, เคมี, ฟิสิกส์ แต่ละวิชา ≥ C
&nbsp;&nbsp;&nbsp;&nbsp 1.2 เลือก 2 วิชา จาก คณิตศาสตร์, เคมี, ฟิสิกส์ แต่ละวิชา ≥ D",2,A,10020101500101A,https://admission.ku.ac.th/majors/project/2/
4,คณะเกษตร,วท.บ. สาขาวิชาการจัดการศัตรูพืชและสัตว์,1,,"1. เป็นนักเรียนชั้น ม.6 สายสามัญ (สายวิทยาศาสตร์) ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์ 
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 4 ธ.ค. 67","1. 
&nbsp;&nbsp;&nbsp;&nbsp 1.1 เลือก 1 วิชา จาก เคมี หรือ ชีววิทยา แต่ละวิชา ≥ C
&nbsp;&nbsp;&nbsp;&nbsp 1.2 เลือก 2 วิชา จาก เคมี และ ชีววิทยา แต่ละวิชา ≥ D",2,A,10020101500201A,https://admission.ku.ac.th/majors/project/2/
5,คณะเกษตร,วท.บ. สาขาวิชาสัตวศาสตร์อุตสาหกรรม,1,,"1. เป็นนักเรียนชั้น ม.6 สายสามัญ (สายวิทยาศาสตร์) ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์ 
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 4 ธ.ค. 67","1. 
&nbsp;&nbsp;&nbsp;&nbsp 1.1 เลือก 1 วิชา จาก เคมี หรือ ชีววิทยา แต่ละวิชา ≥ C
&nbsp;&nbsp;&nbsp;&nbsp 1.2 เลือก 2 วิชา จาก เคมี และ ชีววิทยา แต่ละวิชา ≥ D",2,A,10020101500202A,https://admission.ku.ac.th/majors/project/2/
6,คณะเกษตร,วท.บ. สาขาวิชาเคมีการเกษตร,1,,"1. เป็นนักเรียนชั้น ม.6 สายสามัญ (สายวิทยาศาสตร์) ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์ 
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 4 ธ.ค. 67","1. 
&nbsp;&nbsp;&nbsp;&nbsp 1.1 เลือก 1 วิชา จาก เคมี หรือ ชีววิทยา แต่ละวิชา ≥ C
&nbsp;&nbsp;&nbsp;&nbsp 1.2 เลือก 2 วิชา จาก เคมี และ ชีววิทยา แต่ละวิชา ≥ D",2,A,10020101500203A,https://admission.ku.ac.th/majors/project/2/
7,คณะเกษตร,วท.บ. สาขาวิชาวิทยาศาสตร์เกษตร,4,,"1. เป็นนักเรียนชั้น ม.6 สายสามัญ (สายวิทยาศาสตร์) ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์ 
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 4 ธ.ค. 67","1. 
&nbsp;&nbsp;&nbsp;&nbsp 1.1 เลือก 1 วิชา จาก เคมี หรือ ชีววิทยา แต่ละวิชา ≥ C
&nbsp;&nbsp;&nbsp;&nbsp 1.2 เลือก 2 วิชา จาก เคมี และ ชีววิทยา แต่ละวิชา ≥ D",2,A,10020101500204A,https://admission.ku.ac.th/majors/project/2/
8,คณะเกษตร,วท.บ. สาขาวิชาเกษตรเขตร้อน,1,,"1. เป็นนักเรียนชั้น ม.6 สายสามัญ (สายวิทยาศาสตร์) ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์ 
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 4 ธ.ค. 67","1. 
&nbsp;&nbsp;&nbsp;&nbsp 1.1 เลือก 1 วิชา จาก เคมี หรือ ชีววิทยา แต่ละวิชา ≥ C
&nbsp;&nbsp;&nbsp;&nbsp 1.2 เลือก 2 วิชา จาก เคมี และ ชีววิทยา แต่ละวิชา ≥ D",2,A,10020101500205A,https://admission.ku.ac.th/majors/project/2/
9,คณะเกษตร,วท.บ. สาขาวิชาคหกรรมศาสตร์,2,,"1. เป็นนักเรียนชั้น ม.6 สายสามัญ (สายวิทยาศาสตร์) ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์ 
2. หน่วยกิตกลุ่มสาระการเรียนรู้วิทยาศาสตร์  ไม่ต่ำกว่า 22.00 หน่วยกิต
3. หน่วยกิตกลุ่มสาระการเรียนรู้คณิตศาสตร์  ไม่ต่ำกว่า 12.00 หน่วยกิต
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 4 ธ.ค. 67","1. 
&nbsp;&nbsp;&nbsp;&nbsp 1.1 เลือก 1 วิชา จาก เคมี หรือ ชีววิทยา แต่ละวิชา ≥ C
&nbsp;&nbsp;&nbsp;&nbsp 1.2 เลือก 2 วิชา จาก เคมี และ ชีววิทยา แต่ละวิชา ≥ D",2,A,10020101500301A,https://admission.ku.ac.th/majors/project/2/
10,คณะประมง,วท.บ. สาขาวิชาประมง,10,,"1. เป็นนักเรียนชั้น ม.6 สายสามัญ (สายวิทยาศาสตร์) ที่เข้าร่วมโครงการเรียนล่วงหน้าของมหาวิทยาลัยเกษตรศาสตร์ 
กำหนดการสัมภาษณ์ (ถ้าผ่านการคัดเลือก): 3 ธ.ค. 67","1. เลือก 1 วิชา จาก คณิตศาสตร์, เคมี, ชีววิทยา แต่ละวิชา ≥ C
2. การสอบสัมภาษณ์",3,A,10020102500601A,https://admission.ku.ac.th/majors/project/2/
